BTBNSL-Rounded_BTWBNSL_Flag.BIC_TWBound_2.wcnf.gz,275563587
BTBNSL-Rounded_BTWBNSL_Housing_TWBound_2.wcnf.gz,330970294
BTBNSL-Rounded_BTWBNSL_Voting_TWBound_3.wcnf.gz,464263033
BTBNSL-Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_3.wcnf.gz,49975317164
BTBNSL-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_2.wcnf.gz,5247673868
BTBNSL-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf.gz,1388734978
MaxSATQueriesinInterpretableClassifiers-adult_train_0_CNF_5_20.wcnf.gz,80411
MaxSATQueriesinInterpretableClassifiers-adult_train_3_CNF_4_5.wcnf.gz,21056
MaxSATQueriesinInterpretableClassifiers-compas_train_0_CNF_5_5.wcnf.gz,10377
MaxSATQueriesinInterpretableClassifiers-credit_test_9_CNF_4_10.wcnf.gz,5151
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_15.wcnf.gz,72411
MaxSATQueriesinInterpretableClassifiers-pima_train_3_CNF_5_20.wcnf.gz,2473
MaxSATQueriesinInterpretableClassifiers-tictactoe_train_0_DNF_3_5.wcnf.gz,930
MaxSATQueriesinInterpretableClassifiers-titanic_train_4_DNF_4_20.wcnf.gz,4411
MaxSATQueriesinInterpretableClassifiers-toms_test_1_CNF_3_10.wcnf.gz,160
MaxSATQueriesinInterpretableClassifiers-toms_train_6_DNF_4_5.wcnf.gz,2727
MaxSATQueriesinInterpretableClassifiers-twitter_test_4_CNF_3_10.wcnf.gz,695
MaxSATQueriesinInterpretableClassifiers-twitter_test_5_CNF_1_20.wcnf.gz,3125
MinimumWeightDominatingSetProblem-channel-500x100x100-b050.wcnf.gz,30990637
MinimumWeightDominatingSetProblem-delaunay_n24.wcnf.gz,229956181
MinimumWeightDominatingSetProblem-hugebubbles-00020.wcnf.gz,521004590
MinimumWeightDominatingSetProblem-inf-road-usa.wcnf.gz,656533235
MinimumWeightDominatingSetProblem-sc-rel9.wcnf.gz,15574547
MinimumWeightDominatingSetProblem-web-wikipedia2009.wcnf.gz,27920133
ParametricRBACMaintenance-role_domino_0.05_7.wcnf.gz,23831
ParametricRBACMaintenance-role_domino_0.15_0.wcnf.gz,53480
ParametricRBACMaintenance-role_domino_0.15_18.wcnf.gz,52001
ParametricRBACMaintenance-role_domino_0.25_9.wcnf.gz,83546
ParametricRBACMaintenance-role_domino_0.35_10.wcnf.gz,109199
ParametricRBACMaintenance-role_domino_0.4_4.wcnf.gz,125417
ParametricRBACMaintenance-role_domino_0.7_16.wcnf.gz,180632
ParametricRBACMaintenance-role_domino_0.9_16.wcnf.gz,200533
ParametricRBACMaintenance-role_domino_0.9_6.wcnf.gz,190975
ParametricRBACMaintenance-role_domino_0.9_7.wcnf.gz,199893
ParametricRBACMaintenance-role_smallcomp_0.95_2.wcnf.gz,425857
ParametricRBACMaintenance-role_university_0.05_8.wcnf.gz,40130
ParametricRBACMaintenance-role_university_0.4_8.wcnf.gz,196644
ParametricRBACMaintenance-role_university_0.55_1.wcnf.gz,219081
ParametricRBACMaintenance-role_university_0.55_6.wcnf.gz,215613
ParametricRBACMaintenance-role_university_0.9_1.wcnf.gz,217876
ParametricRBACMaintenance-role_university_1.0_0.wcnf.gz,207875
RBAC-violations-multiple-role_domino_multiple_0.4_5.wcnf.gz,123701
RBAC-violations-multiple-role_domino_multiple_0.4_9.wcnf.gz,118800
RBAC-violations-multiple-role_university_multiple_0.1_2.wcnf.gz,53992
RBAC-violations-multiple-role_university_multiple_0.8_6.wcnf.gz,201257
RBAC-violations-multiple-role_university_violations_0.45_2.wcnf.gz,201272
RBAC-violations-multiple-role_university_violations_0.65_5.wcnf.gz,220608
abstraction-refinement-downcast-antlr.wcnf.gz,76250
abstraction-refinement-downcast-hsqldb.wcnf.gz,30207
abstraction-refinement-downcast-pmd.wcnf.gz,4227
abstraction-refinement-polysite-bloat.wcnf.gz,36
abstraction-refinement-polysite-hsqldb.wcnf.gz,172382
abstraction-refinement-polysite-pmd.wcnf.gz,188398
abstraction-refinement-polysite-xalan.wcnf.gz,114620
af-synthesis-af-synthesis_stb_50_120_3.wcnf.gz,100
af-synthesis-af-synthesis_stb_50_120_9.wcnf.gz,114
af-synthesis-af-synthesis_stb_50_140_0.wcnf.gz,120
af-synthesis-af-synthesis_stb_50_140_1.wcnf.gz,127
af-synthesis-af-synthesis_stb_50_140_7.wcnf.gz,109
af-synthesis-af-synthesis_stb_50_140_8.wcnf.gz,113
af-synthesis-af-synthesis_stb_50_160_4.wcnf.gz,123
af-synthesis-af-synthesis_stb_50_160_5.wcnf.gz,113
