Instance, Best_Cost
BTBNSL-Rounded_BTWBNSL_Flag.BIC_TWBound_2.wcnf,275563587
BTBNSL-Rounded_BTWBNSL_Housing_TWBound_2.wcnf,330970294
BTBNSL-Rounded_BTWBNSL_Voting_TWBound_3.wcnf,464263033
BTBNSL-Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_3.wcnf,49975317164
BTBNSL-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_2.wcnf,5247673868
BTBNSL-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,1388734978
MaxSATQueriesinInterpretableClassifiers-adult_train_0_CNF_5_20.wcnf,80411
MaxSATQueriesinInterpretableClassifiers-adult_train_3_CNF_4_5.wcnf,21056
MaxSATQueriesinInterpretableClassifiers-compas_train_0_CNF_5_5.wcnf,10377
MaxSATQueriesinInterpretableClassifiers-credit_test_9_CNF_4_10.wcnf,5151
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_15.wcnf,72411
MaxSATQueriesinInterpretableClassifiers-pima_train_3_CNF_5_20.wcnf,2473
MaxSATQueriesinInterpretableClassifiers-tictactoe_train_0_DNF_3_5.wcnf,930
MaxSATQueriesinInterpretableClassifiers-titanic_train_4_DNF_4_20.wcnf,4411
MaxSATQueriesinInterpretableClassifiers-toms_test_1_CNF_3_10.wcnf,160
MaxSATQueriesinInterpretableClassifiers-toms_train_6_DNF_4_5.wcnf,2727
MaxSATQueriesinInterpretableClassifiers-twitter_test_4_CNF_3_10.wcnf,695
MaxSATQueriesinInterpretableClassifiers-twitter_test_5_CNF_1_20.wcnf,3125
MinimumWeightDominatingSetProblem-channel-500x100x100-b050.wcnf,30990637
MinimumWeightDominatingSetProblem-delaunay_n24.wcnf,229956181
MinimumWeightDominatingSetProblem-hugebubbles-00020.wcnf,521004590
MinimumWeightDominatingSetProblem-inf-road-usa.wcnf,656533235
MinimumWeightDominatingSetProblem-sc-rel9.wcnf,15574547
MinimumWeightDominatingSetProblem-web-wikipedia2009.wcnf,27920133
ParametricRBACMaintenance-role_domino_0.05_7.wcnf,23831
ParametricRBACMaintenance-role_domino_0.15_0.wcnf,53480
ParametricRBACMaintenance-role_domino_0.15_18.wcnf,52001
ParametricRBACMaintenance-role_domino_0.25_9.wcnf,83546
ParametricRBACMaintenance-role_domino_0.35_10.wcnf,109199
ParametricRBACMaintenance-role_domino_0.4_4.wcnf,125417
ParametricRBACMaintenance-role_domino_0.7_16.wcnf,180632
ParametricRBACMaintenance-role_domino_0.9_16.wcnf,200533
ParametricRBACMaintenance-role_domino_0.9_6.wcnf,190975
ParametricRBACMaintenance-role_domino_0.9_7.wcnf,199893
ParametricRBACMaintenance-role_smallcomp_0.95_2.wcnf,425857
ParametricRBACMaintenance-role_university_0.05_8.wcnf,40130
ParametricRBACMaintenance-role_university_0.4_8.wcnf,196644
ParametricRBACMaintenance-role_university_0.55_1.wcnf,219081
ParametricRBACMaintenance-role_university_0.55_6.wcnf,215613
ParametricRBACMaintenance-role_university_0.9_1.wcnf,217876
ParametricRBACMaintenance-role_university_1.0_0.wcnf,207875
RBAC-violations-multiple-role_domino_multiple_0.4_5.wcnf,123701
RBAC-violations-multiple-role_domino_multiple_0.4_9.wcnf,118800
RBAC-violations-multiple-role_university_multiple_0.1_2.wcnf,53992
RBAC-violations-multiple-role_university_multiple_0.8_6.wcnf,201257
RBAC-violations-multiple-role_university_violations_0.45_2.wcnf,201272
RBAC-violations-multiple-role_university_violations_0.65_5.wcnf,220608
abstraction-refinement-downcast-antlr.wcnf,76250
abstraction-refinement-downcast-hsqldb.wcnf,30207
abstraction-refinement-downcast-pmd.wcnf,4227
abstraction-refinement-polysite-bloat.wcnf,36
abstraction-refinement-polysite-hsqldb.wcnf,172382
abstraction-refinement-polysite-pmd.wcnf,188398
abstraction-refinement-polysite-xalan.wcnf,114620
