Instance,Best-cost
extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,8
extension-enforcement_non-strict_stb_200_0.1_4_10_2.wcnf,8
extension-enforcement_strict_com_100_0.05_4_20_3.wcnf,15
extension-enforcement_strict_com_150_0.05_0_15_2.wcnf,39
extension-enforcement_strict_com_150_0.05_3_30_0.wcnf,33
extension-enforcement_strict_com_150_0.05_4_30_4.wcnf,27
extension-enforcement_strict_com_150_0.1_2_15_0.wcnf,26
extension-enforcement_strict_com_150_0.1_4_15_1.wcnf,24
extension-enforcement_strict_com_200_0.05_0_40_1.wcnf,26
extension-enforcement_strict_com_200_0.1_0_10_1.wcnf,35
flush_reload_min.wcnf,45
FOOTBALL.wcnf,13
fpu4-problem.dimacs_19.filtered.wcnf,1
fpu5-problem.dimacs_20.filtered.wcnf,1
frb10-6-2.wcnf,50
frb10-6-3.wcnf,50
frb10-6-5.wcnf,50
frb20-11-2.partial.wcnf,200
frb20-11-3.partial.wcnf,200
frb20-11-4.partial.wcnf,200
frb20-11-5.partial.wcnf,200
frb25-13-2.partial.wcnf,300
frb25-13-5.partial.wcnf,300
frb30-15-1.partial.wcnf,420
frb30-15-2.partial.wcnf,420
frb30-15-5.partial.wcnf,420
frb35-17-2.partial.wcnf,560
frb35-17-3.partial.wcnf,560
frb40-19-3.partial.wcnf,720
frb40-19-5.partial.wcnf,720
geffe128_1.wcnf,800
geffe128_6.wcnf,800
geffe128_9.wcnf,800
gen_add_4_33.wcnf,158
gen_add_4_carry_33.wcnf,188
gen_add_4_carry_991.wcnf,56
gen_add_5_carry_299.wcnf,948
gen_add_6_991.wcnf,102
gen_cvc-add3-carry2-gadget_33.wcnf,51
gen_cvc-add7to3_991.wcnf,158
gen_cvc-mult4_4_991.wcnf,85
gen_cvc-mult4_4_9999.wcnf,98
gen_mult_4_4_9999.wcnf,98
gen_mult_4_5_299.wcnf,1106
gen_mult_4_5_9999.wcnf,197
gen_mult_4_6_991.wcnf,139
gen_mult_4_7_991.wcnf,148
gen_mult_5_5_399.wcnf,2296
gen_mult_5_5_991.wcnf,232
GenHyperTW_adder_15.wcnf,2
GenHyperTW_aim-50-1_6-no-3.wcnf,10
GenHyperTW_aim-50-1_6-yes1-3.wcnf,10
GenHyperTW_aim-50-3_4-yes1-3.wcnf,15
GenHyperTW_b01.wcnf,5
GenHyperTW_b06.wcnf,4
GenHyperTW_flat30-50.wcnf,26
GenHyperTW_flat30-99.wcnf,26
GenHyperTW_hole6.wcnf,7
GenHyperTW_hole8.wcnf,9
GenHyperTW_hole9.wcnf,10
GenHyperTW_par8-4-c.wcnf,8
GenHyperTW_par8-5-c.wcnf,9
GenHyperTW_s208.wcnf,7
GenHyperTW_s27.wcnf,2
GenHyperTW_uf20-050.wcnf,6
glass.wcnf,299
GreeceWesternGreeceUniversityInstance4.xml.wcnf,14
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,28
hepatitis.wcnf,58
hip-sim.simp-abcd_5.01.wcnf,7
hip-sim.simp-ace_25.06.wcnf,11
hip-sim.simp-cf_10.09.wcnf,15
hip-sim.simp-ibd_25.01.wcnf,31
hip-sim.simp-nonunif-100_100.11.wcnf,38
hip-sim.simp-nonunif-100_50.14.wcnf,25
hip-sim.simp-test_chr21_CEU_75.wcnf,14
hip-su.SU1__simp-genos.haps.48.wcnf,129
hip-su.SU3__simp-genos.haps.41.wcnf,158
hyp.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,46
i2c_master1.dimacs.filtered.wcnf,1
indo.wcnf,13
iris.wcnf,87
KARATE.wcnf,4
kbtree9_7_3_5_20_5.wcsp.wcnf,1
kbtree9_7_3_5_40_1.wcsp.wcnf,27
kbtree9_7_3_5_50_1.wcsp.wcnf,36
kbtree9_7_3_5_50_3.wcsp.wcnf,37
kbtree9_7_3_5_50_4.wcsp.wcnf,38
kbtree9_7_3_5_60_3.wcsp.wcnf,59
kbtree9_7_3_5_60_4.wcsp.wcnf,59
kbtree9_7_3_5_60_6.wcsp.wcnf,57
kbtree9_7_3_5_70_5.wcsp.wcnf,72
kbtree9_7_3_5_70_6.wcsp.wcnf,74
kbtree9_7_3_5_80_2.wcsp.wcnf,103
kbtree9_7_3_5_90_3.wcsp.wcnf,121
kbtree9_7_3_5_90_4.wcsp.wcnf,126
kbtree9_7_3_5_90_5.wcsp.wcnf,124
lam.20-100-frag12-0.wcnf,41
lam.20-100-frag12-45.wcnf,43
lam.20-100-frag12-56.wcnf,42
lam.20-100-frag12-79.wcnf,43
lam.20-100-lambda100-53.wcnf,72
lam.20-100-lambda100-59.wcnf,73
lam.20-100-lambda100-89.wcnf,74
lam.20-100-lambda100-95.wcnf,75
lam.20-100-p100-55.wcnf,75
lam.20-100-p100-72.wcnf,71
lam.20-100-p100-86.wcnf,76
lam.20-100-p100-97.wcnf,75
lam.20-500-18.wcnf,168
lam.20-500-55.wcnf,173
lam.20-500-74.wcnf,174
lam.20-500-89.wcnf,169
liver-disorder.wcnf,293
lym.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,3
max.uaq-max-nc-nr10-np400-rpp5-nc10-n8-t3-plb10-n0.wcnf,84
max.uaq-max-nc-nr10-np400-rpp5-nc100-n8-t3-plb10-n4.wcnf,80
max.uaq-max-np-nr200-np700-rpp5-nc50-n8-t3-plb10-n5.wcnf,6
max.uaq-max-nr-nr160-np400-rpp5-nc50-n8-t3-plb10-n7.wcnf,4
max.uaq-max-nr-nr70-np400-rpp5-nc50-n8-t3-plb10-n7.wcnf,61
meltdown_min.wcnf,69
mem_ctrl1.dimacs.filtered.wcnf,1
mes.atcoss_mesat_01.wcnf,20
mes.atcoss_mesat_04.wcnf,30
mes.atcoss_mesat_05.wcnf,10
mes.atcoss_mesat_06.wcnf,20
mes.atcoss_mesat_10.wcnf,13
min.uaq-min-nr-nr50-np400-rpp5-nc0-rs0-t0-plb2-n4.wcnf,53
min.uaq-min-nr-nr70-np400-rpp5-nc0-rs0-t0-plb2-n9.wcnf,39
min.uaq-min-plb-nr10-np400-rpp5-nc0-rs0-t0-plb40-n0.wcnf,328
min.uaq-min-rpp-nr200-np400-rpp2-nc0-rs0-t0-plb4-n3.wcnf,10
min.uaq-min-rpp-nr200-np400-rpp3-nc0-rs0-t0-plb4-n4.wcnf,15
min.uaq-min-rpp-nr200-np400-rpp4-nc0-rs0-t0-plb4-n4.wcnf,25
MinFill_R0_miles1500.wcnf,218
MinFill_R0_mulsol.i.3.wcnf,240
MinFill_R0_mulsol.i.4.wcnf,240
MinFill_R0_mulsol.i.5.wcnf,240
MinFill_R0_myciel4.wcnf,46
MinFill_R0_myciel5.wcnf,196
MinFill_R0_myciel7.wcnf,3322
MinFill_R0_queen11_11.wcnf,4250
MinFill_R0_queen6_6.wcnf,231
MinFill_R0_queen7_7.wcnf,495
MinFill_R10_anna.wcnf,37
MinFill_R3_david.wcnf,61
MinFill_R3_huck.wcnf,2
MinFill_R3_miles750.wcnf,484
MinFill_R4_miles500.wcnf,381
MinFill_R5_jean.wcnf,11
MLI.ionosphere_train_1_DNF_4_1.wcnf,23
MLI.twitter_train_1_CNF_4_1.wcnf,1805
ms_100_20_20-0.wcnf,49
ms_100_40_10-0.wcnf,16
ms_150_10_40-0.wcnf,98
ms_200_10_40-0.wcnf,88
ms_200_20_12-1.wcnf,46
ms_200_20_20-8.wcnf,69
ms_200_20_24-1.wcnf,51
ms_200_20_24-2.wcnf,106
ms_200_22_20-0.wcnf,76
ms_200_22_20-3.wcnf,80
ms_200_36_20-1.wcnf,1
ms_200_40_10-0.wcnf,8
ms_200_6_20-0.wcnf,133
ms_250_20_20-0.wcnf,74
ms_300_20_20-0.wcnf,33
msp.normalized-aim-100-1_6-yes1-2.wcnf,100
msp.normalized-aim-200-6_0-yes1-4.wcnf,200
msp.normalized-ii8b1.wcnf,191
msp.normalized-par16-3-c.wcnf,334
msp.normalized-ssa7552-038.wcnf,1448
mtg.apex2_Fv1@1.wcnf,21
mtg.c1355_F543gat@1.wcnf,33
mul_8_11.wcnf,64
mul_8_13.wcnf,60
mul_8_14.wcnf,56
mul_8_3.wcnf,36
mul_8_9.wcnf,42
mul.role_domino_multiple_0.0_1.wcnf,73
mul.role_domino_multiple_0.0_4.wcnf,55
mul.role_smallcomp_multiple_0.0_2.wcnf,36
mul.role_smallcomp_multiple_0.0_3.wcnf,20
mul.role_smallcomp_multiple_0.0_4.wcnf,33
mul.role_university_multiple_0.0_2.wcnf,21
mul.role_university_multiple_0.0_8.wcnf,29
mus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,7
navigation_3x3_5.wcnf,4
navigation_3x3_6.wcnf,4
navigation_4x4_5.wcnf,5
navigation_4x4_6.wcnf,5
navigation_4x4_7.wcnf,5
navigation_5x5_10.wcnf,8
navigation_5x5_8.wcnf,8
navigation_5x5_9.wcnf,8
new-thyroid.wcnf,126
normalized-5xp1.b.opb.msat.wcnf,12
normalized-9sym.b.opb.msat.wcnf,5
normalized-apex4.a.opb.msat.wcnf,776
normalized-bench1.pi.opb.msat.wcnf,121
normalized-clip.b.opb.msat.wcnf,15
normalized-count.b.opb.msat.wcnf,24
normalized-e64.b.opb.msat.wcnf,47
normalized-ex5.pi.opb.msat.wcnf,65
normalized-exam.pi.opb.msat.wcnf,63
normalized-f51m.b.opb.msat.wcnf,18
normalized-jac3.opb.msat.wcnf,15
normalized-max1024.pi.opb.msat.wcnf,259
normalized-prom2.pi.opb.msat.wcnf,287
normalized-rot.b.opb.msat.wcnf,115
normalized-sao2.b.opb.msat.wcnf,25
normalized-test4.pi.opb.msat.wcnf,96
p1.wcnf.t.wcnf,35
p15.wcnf,5
pesp_18Min.wcnf,311
pesp_5min.wcnf,68
POLITICSBOOK.wcnf,17
pri.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,29
promoters.wcnf,92
Q12_OPTIONS_1.wcnf,11
Q13_OPTIONS_1.wcnf,21
Q34_YESNO_2.wcnf,1
Q41_YESNO_3.wcnf,1
Q45_YESNO_3.wcnf,1
Q46_OPTIONS_1.wcnf,3
Q46_YESNO_2.wcnf,1
Q47_YESNO_2.wcnf,1
Q53_YESNO_3.wcnf,1
Q6_YESNO_1.wcnf,2
RAILWAY.wcnf,44
ram_k3_n19.ra0.wcnf,75
ram_k4_n18.ra0.wcnf,9
ran-scp.scp43_maxsat.wcnf,38
ran-scp.scp47_maxsat.wcnf,38
ran-scp.scp48_maxsat.wcnf,38
ran-scp.scp510_maxsat.wcnf,36
ran-scp.scp58_maxsat.wcnf,34
ran-scp.scp59_maxsat.wcnf,36
ran-scp.scp61_maxsat.wcnf,22
ran-scp.scp65_maxsat.wcnf,22
ran-scp.scpnre1_maxsat.wcnf,20
ran-scp.scpnrf4_maxsat.wcnf,12
ran-scp.scpnrf5_maxsat.wcnf,12
ran-scp.scpnrg1_maxsat.wcnf,73
ran-scp.scpnrh1_maxsat.wcnf,42
ran-scp.scpnrh5_maxsat.wcnf,42
ran.max_clq_150-13-6258-1.clq.wcnf,138
ran.max_clq_150-14-6705-2.clq.wcnf,137
ran.max_clq_150-16-7599-3.clq.wcnf,134
ran.max_clq_150-17-8046-3.clq.wcnf,132
ran.max_clq_150-3-1788-2.clq.wcnf,145
ran.max_clq_150-3-1788-3.clq.wcnf,145
ran.max_clq_150-4-2235-1.clq.wcnf,144
ran.max_clq_150-7-3576-2.clq.wcnf,143
ran.max_clq_150-8-4023-3.clq.wcnf,143
ran.max_clq_150-9-4470-1.clq.wcnf,142
ran.max_cut_60_500_10.asc.wcnf,174
ran.max_cut_60_500_6.asc.wcnf,173
ran.max_cut_60_600_4.asc.wcnf,213
ran.max_cut_60_600_9.asc.wcnf,218
rev44-10.wcnf,5
rev66-14.wcnf,19
rev66-16.wcnf,17
rev66-20.wcnf,13
rev66-4.wcnf,34
RISKMAP.wcnf,9
rsdecoder-problem.dimacs_41.filtered.wcnf,2
rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf,2
rsdecoder1.dimacs.filtered.wcnf,1
rsdecoder2.dimacs.filtered.wcnf,1
s01423_nan_explicit_3_0.wcnf,69
s01423_nan_explicit_9_0.wcnf,70
s15850-bug-onevec-gate-0.dimacs.seq.filtered.wcnf,1
s38417_nan_explicit_1_0.wcnf,58
s38417_nan_explicit_10_0.wcnf,65
s38417_nan_explicit_13_0.wcnf,67
s38417_nan_explicit_14_0.wcnf,55
s38417_nan_explicit_18_0.wcnf,63
s38417_nan_explicit_29_0.wcnf,69
s38417_nan_explicit_8_0.wcnf,70
s38584_nan_explicit_12_0.wcnf,191
s38584_nan_explicit_16_0.wcnf,188
s38584_nan_explicit_17_0.wcnf,185
s38584_nan_explicit_24_0.wcnf,177
s38584_nan_explicit_39_0.wcnf,198
s38584_nan_explicit_44_0.wcnf,168
s38584_nan_explicit_7_0.wcnf,188
sandiaprotein.g.wcnf.t.wcnf,28
SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.2.wcnf,25
SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.2.wcnf,16
SAT04__industrial__vangelder__cnf-color__abb313GPIA-9-tr.used-as.sat04-321.cnf.wcnf.6.wcnf,25
SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8.wcnf,86
SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.7.wcnf,60
SAT09__APPLICATIONS__satComp09_BioInstances__rbcl_xits_15_SAT.cnf.wcnf.9.wcnf,26
SAT09__APPLICATIONS__satComp09_BioInstances__rbcl_xits_18_SAT.cnf.wcnf.2.wcnf,7
SAT11__application__fuhs__AProVE11__AProVE11-12.cnf.wcnf.5.wcnf,578
SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1.wcnf,263
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16.cnf.wcnf.2.wcnf,1
SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.3.wcnf,17
SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9.wcnf,82
SAT11__application__manthey__traffic__traffic_r_sat.cnf.wcnf.4.wcnf,78
SAT11__application__manthey__traffic__traffic_r_sat.cnf.wcnf.6.wcnf,120
SAT11__application__rintanen__SATPlanning__blocks-blocks-36-0.180-SAT.cnf.wcnf.2.wcnf,35
sbox_4.wcnf,22
sbox_8.wcnf,338
sol.g2_n26e25_n34e40.wcnf,12
sol.g2_n32e31_n35e41.wcnf,21
sol.g2_n43e42_n90e107.wcnf,22
sol.g2_n60e83_n77e84.wcnf,60
sol.g2_n74e91_n76e86.wcnf,51
sol.g3_n25e24_n35e34_n37e37.wcnf,10
sol.g3_n30e43_n33e37_n40e53.wcnf,30
sol.g3_n37e47_n38e49_n54e63.wcnf,24
sol.g4_n28e40_n47e56_n47e56_n58e77.wcnf,30
sol.g4_n34e43_n59e60_n69e85_n288e287.wcnf,34
sol.g4_n42e55_n45e54_n55e66_n78e101.wcnf,41
sol.g5_n32e44_n33e41_n35e48_n48e62_n50e64.wcnf,34
sol.g5_n39e38_n43e43_n61e61_n67e68_n82e119.wcnf,22
sol.g5_n41e56_n49e61_n51e60_n99e132_n109e132.wcnf,38
sol.g5_n67e69_n67e69_n82e119_n92e101_n92e101.wcnf,41
sol.g7_n35e48_n39e54_n41e57_n42e58_n47e66_n53e75_n59e84.wcnf,33
soy.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,5
spectre_min.wcnf,89
spi-Han.spinglass4_9.pm3.wcnf,40
spi-Han.spinglass5_2.pm3.wcnf,75
spl.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,853
splitedReads_0.matrix.wcnf,1500
splitedReads_137.matrix.wcnf,90
splitedReads_158.matrix.wcnf,173
splitedReads_160.matrix.wcnf,186
splitedReads_18.matrix.wcnf,138
splitedReads_414.matrix.wcnf,171
str.hamming8-2.clq.wcnf,128
str.johnson32-2-4.clq.wcnf,480
str.johnson8-2-4.clq.wcnf,24
str.p_hat1000-1.clq.wcnf,990
str.p_hat700-3.clq.wcnf,638
str.san200_0.9_1.clq.wcnf,130
sug.atcoss_sugar_01.wcnf,20
sug.atcoss_sugar_04.wcnf,30
sug.atcoss_sugar_05.wcnf,10
sug.atcoss_sugar_10.wcnf,13
sug.atcoss_sugar_11.wcnf,50
sug.atcoss_sugar_12.wcnf,12
sug.atcoss_sugar_15.wcnf,28
sug.atcoss_sugar_18.wcnf,12
sysadmin_4_3.wcnf,2
sysadmin_4_4.wcnf,3
sysadmin_5_3.wcnf,5
sysadmin_5_4.wcnf,7
teams16_l6a.cnf.wcnf,14
threshold128_2.wcnf,800
threshold128_3.wcnf,800
threshold128_4.wcnf,800
threshold128_5.wcnf,800
threshold128_8.wcnf,800
tic.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,165
titanic.wcnf,7
TWComp_barley-pp_N26.wcnf,7
TWComp_barley2_N48.wcnf,7
TWComp_celar02_N100.wcnf,10
TWComp_celar09pp_N67.wcnf,7
TWComp_david_N87.wcnf,13
TWComp_david-pp_N29.wcnf,13
TWComp_hailfinder_N56.wcnf,4
TWComp_hepar2_N70.wcnf,6
TWComp_mildew_35.wcnf,4
TWComp_miles500_N128.wcnf,22
TWComp_mulsol.i.5-pp_N119.wcnf,31
TWComp_myciel4_N23.wcnf,10
TWComp_myciel5_N47.wcnf,19
TWComp_oesoca4_N42.wcnf,3
TWComp_queen5_5_N25.wcnf,18
TWComp_win95pts_N76.wcnf,8
uaq-nr-nr110-nc36-n3-k2-rpp4-ppr2-plb50.wcnf,45
uaq-nr-nr160-nc53-n3-k2-rpp4-ppr2-plb50.wcnf,52
uaq-nr-nr170-nc56-n3-k2-rpp4-ppr2-plb50.wcnf,48
uaq-nr-nr180-nc60-n3-k2-rpp4-ppr2-plb50.wcnf,54
uaq-nr-nr220-nc73-n3-k2-rpp4-ppr2-plb50.wcnf,60
uaq-nr-nr240-nc80-n3-k2-rpp4-ppr2-plb50.wcnf,63
uaq-nr-nr260-nc86-n3-k2-rpp4-ppr2-plb50.wcnf,66
uaq-nr-nr360-nc120-n3-k2-rpp4-ppr2-plb50.wcnf,65
uaq-nr-nr470-nc156-n3-k2-rpp4-ppr2-plb50.wcnf,71
uaq-plb-nr250-nc83-n5-k2-rpp3-ppr5-plb90.wcnf,79
uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr14-plb100.wcnf,68
uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr6-plb100.wcnf,66
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr10-plb100.wcnf,67
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr7-plb100.wcnf,67
uaq-rpp-nr100-nc33-n3-k2-rpp29-ppr2-plb20.wcnf,78
uaq-rpp-nr100-nc33-n3-k2-rpp30-ppr2-plb20.wcnf,80
uci_mammo_data.wcnf,58
unw.MultiDay_2.wcnf,117839
unw.MultiDay_3.wcnf,155217
unw.MultiDay_4.wcnf,188900
unw.RSN_Security_Min_Witness-Direct-FlexScan-D2.wcnf,9
unw.RSN_Security_Min_Witness-Direct-FlexScan-D4.wcnf,9
unw.RSN_Security_Min_Witness-Direct-FlexScan-D6.wcnf,9
unw.RSN_Security_Min_Witness-Direct-FlexScan-D7.wcnf,9
unw.RSN_Security_Min_Witness-Direct-FlexScan-DC.wcnf,9
unw.RSN_Security_Min_Witness-Direct-FlexScan-DD.wcnf,9
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-D2.wcnf,45
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-D3.wcnf,43
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-D6.wcnf,43
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-D7.wcnf,45
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-DC.wcnf,45
unw.RSN_Security_Min_Witness-Direct-MBIST_100cores_100controllers_5memories_na-DD.wcnf,43
unw.RSN_Security_Min_Witness-Direct-MBIST_5cores_100controllers_100memories_na-D1.wcnf,43
unw.RSN_Security_Min_Witness-Direct-MBIST_5cores_100controllers_100memories_na-D7.wcnf,43
unw.RSN_Security_Min_Witness-Direct-MBIST_5cores_100controllers_100memories_na-DE.wcnf,43
unw.RSN_Security_Min_Witness-Direct-p93791-D7.wcnf,8
unw.SingleDay_15.wcnf,25541
unw.SingleDay_3.wcnf,9448
unw.SingleDay_37.wcnf,82088
unw.Subnetwork_7.wcnf,6393
unw.Subnetwork_9.wcnf,7903
vio.role_domino_violations_0.0_12.wcnf,1
vio.role_domino_violations_0.0_3.wcnf,5
vio.role_domino_violations_0.0_9.wcnf,4
vio.role_smallcomp_violations_0.0_3.wcnf,2
vio.role_smallcomp_violations_0.0_4.wcnf,1
vio.role_smallcomp_violations_0.0_5.wcnf,2
vio.role_university_violations_0.0_0.wcnf,6
vio.role_university_violations_0.0_3.wcnf,8
vio.role_university_violations_0.0_5.wcnf,17
wb_4m8s-problem.dimacs_47.filtered.wcnf,41
wcn.adult_test_9_CNF_1_1.wcnf,2363
